T21,"Production, trade and supply of energy",,,,,
1,"Total, all countries or areas",1990,Changes in stocks (petajoules),4119.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),220.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),-2989.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-305.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),73.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2015,Changes in stocks (petajoules),2553.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2016,Changes in stocks (petajoules),-4567.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2017,Changes in stocks (petajoules),-1762.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1990,Total supply (petajoules),349326.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1995,Total supply (petajoules),372667.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2000,Total supply (petajoules),405396.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2005,Total supply (petajoules),464387.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2010,Total supply (petajoules),517963.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2015,Total supply (petajoules),550548.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2016,Total supply (petajoules),552936.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2017,Total supply (petajoules),563396.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1990,Supply per capita (gigajoules),62.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1995,Supply per capita (gigajoules),65.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2000,Supply per capita (gigajoules),66.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2005,Supply per capita (gigajoules),71.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2010,Supply per capita (gigajoules),74.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2015,Supply per capita (gigajoules),75.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2016,Supply per capita (gigajoules),74.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2017,Supply per capita (gigajoules),75.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1990,Primary energy production (petajoules),28052.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1995,Primary energy production (petajoules),32236.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2000,Primary energy production (petajoules),37241.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2005,Primary energy production (petajoules),44734.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2010,Primary energy production (petajoules),47153.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2015,Primary energy production (petajoules),44265.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2016,Primary energy production (petajoules),43763.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2017,Primary energy production (petajoules),45629.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-12208.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-13018.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-16261.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-20515.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-19197.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-13434.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-12283.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-13019.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1990,Changes in stocks (petajoules),-11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1995,Changes in stocks (petajoules),321.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2000,Changes in stocks (petajoules),-33.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2005,Changes in stocks (petajoules),3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2010,Changes in stocks (petajoules),20.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2015,Changes in stocks (petajoules),-29.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2016,Changes in stocks (petajoules),-76.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2017,Changes in stocks (petajoules),46.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1990,Total supply (petajoules),15856.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1995,Total supply (petajoules),18896.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2000,Total supply (petajoules),21012.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2005,Total supply (petajoules),24215.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2010,Total supply (petajoules),27936.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2015,Total supply (petajoules),30859.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2016,Total supply (petajoules),31556.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2017,Total supply (petajoules),32562.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1990,Supply per capita (gigajoules),25.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,1995,Supply per capita (gigajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2000,Supply per capita (gigajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2005,Supply per capita (gigajoules),27.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2010,Supply per capita (gigajoules),27.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2015,Supply per capita (gigajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2016,Supply per capita (gigajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
2,Africa,2017,Supply per capita (gigajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1990,Primary energy production (petajoules),90168.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1995,Primary energy production (petajoules),93936.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2000,Primary energy production (petajoules),96711.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2005,Primary energy production (petajoules),98775.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2010,Primary energy production (petajoules),101199.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2015,Primary energy production (petajoules),114922.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2016,Primary energy production (petajoules),110326.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2017,Primary energy production (petajoules),114222.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7976.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),9286.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),15882.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),20421.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),13008.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1746.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2137.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-2128.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1990,Changes in stocks (petajoules),1783.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1995,Changes in stocks (petajoules),-919.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2000,Changes in stocks (petajoules),-2233.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2005,Changes in stocks (petajoules),-143.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2010,Changes in stocks (petajoules),-597.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2015,Changes in stocks (petajoules),2072.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2016,Changes in stocks (petajoules),-1153.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2017,Changes in stocks (petajoules),-1405.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1990,Total supply (petajoules),96361.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1995,Total supply (petajoules),104141.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2000,Total supply (petajoules),114826.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2005,Total supply (petajoules),119340.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2010,Total supply (petajoules),114805.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2015,Total supply (petajoules),114597.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2016,Total supply (petajoules),113617.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2017,Total supply (petajoules),113499.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1990,Supply per capita (gigajoules),225.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,1995,Supply per capita (gigajoules),228.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2000,Supply per capita (gigajoules),236.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2005,Supply per capita (gigajoules),232.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2010,Supply per capita (gigajoules),211.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2015,Supply per capita (gigajoules),201.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2016,Supply per capita (gigajoules),197.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
3,North America,2017,Supply per capita (gigajoules),195.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1990,Primary energy production (petajoules),16266.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1995,Primary energy production (petajoules),20324.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2000,Primary energy production (petajoules),24088.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2005,Primary energy production (petajoules),26619.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2010,Primary energy production (petajoules),29335.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2015,Primary energy production (petajoules),31960.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2016,Primary energy production (petajoules),31955.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2017,Primary energy production (petajoules),31442.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3742.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5769.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-7308.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-8048.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7268.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7807.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-7925.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-8167.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1990,Changes in stocks (petajoules),86.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1995,Changes in stocks (petajoules),-8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2000,Changes in stocks (petajoules),-15.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2005,Changes in stocks (petajoules),-325.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2010,Changes in stocks (petajoules),-87.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2015,Changes in stocks (petajoules),41.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2016,Changes in stocks (petajoules),-214.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2017,Changes in stocks (petajoules),-883.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1990,Total supply (petajoules),12437.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1995,Total supply (petajoules),14563.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2000,Total supply (petajoules),16794.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2005,Total supply (petajoules),18897.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2010,Total supply (petajoules),22155.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2015,Total supply (petajoules),24112.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2016,Total supply (petajoules),24243.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2017,Total supply (petajoules),24158.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1990,Supply per capita (gigajoules),42.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,1995,Supply per capita (gigajoules),45.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2000,Supply per capita (gigajoules),48.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2005,Supply per capita (gigajoules),51.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2010,Supply per capita (gigajoules),56.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2015,Supply per capita (gigajoules),58.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2016,Supply per capita (gigajoules),58.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
5,South America,2017,Supply per capita (gigajoules),57.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1990,Primary energy production (petajoules),106953.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1995,Primary energy production (petajoules),132959.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2000,Primary energy production (petajoules),149311.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2005,Primary energy production (petajoules),192294.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2010,Primary energy production (petajoules),236089.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2015,Primary energy production (petajoules),261124.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2016,Primary energy production (petajoules),264678.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2017,Primary energy production (petajoules),268302.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-11491.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8882.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-9642.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-9480.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),305.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8688.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),4952.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),10816.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1990,Changes in stocks (petajoules),1714.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1995,Changes in stocks (petajoules),612.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2000,Changes in stocks (petajoules),-736.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2005,Changes in stocks (petajoules),-385.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2010,Changes in stocks (petajoules),1644.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2015,Changes in stocks (petajoules),238.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2016,Changes in stocks (petajoules),-2148.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2017,Changes in stocks (petajoules),71.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1990,Total supply (petajoules),93749.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,1995,Total supply (petajoules),123466.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2000,Total supply (petajoules),140404.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2005,Total supply (petajoules),183199.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2010,Total supply (petajoules),234751.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2015,Total supply (petajoules),269575.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
142,Asia,2016,Total supply (petajoules),271779.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
