T22,Land,,,,,
2,Africa,2010,Permanent crops (% of total land area),1.1303,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Forest cover (% of total land area),21.5280,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Land area (thousand hectares),2964920.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Arable land (thousand hectares),240668.0071,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Permanent crops (thousand hectares),35323.5990,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Forest cover (thousand hectares),624102.6270,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Arable land (% of total land area),8.1172,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Permanent crops (% of total land area),1.1914,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Forest cover (% of total land area),21.0496,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Arable land (thousand hectares),41430.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Permanent crops (thousand hectares),5310.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Forest cover (thousand hectares),36954.0880,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Arable land (% of total land area),4.9437,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Permanent crops (% of total land area),0.6336,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Forest cover (% of total land area),4.4096,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),18.7614,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2010,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Arable land (thousand hectares),42525.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Permanent crops (thousand hectares),5805.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Forest cover (thousand hectares),36813.0120,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Arable land (% of total land area),5.0743,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Permanent crops (% of total land area),0.6927,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Forest cover (% of total land area),4.3928,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9788,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2017,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Arable land (thousand hectares),42227.7371,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Permanent crops (thousand hectares),6413.6190,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Forest cover (thousand hectares),28835.9380,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Arable land (% of total land area),5.0389,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Permanent crops (% of total land area),0.7653,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Forest cover (% of total land area),3.4409,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2005,Land area (thousand hectares),2126783.5000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Arable land (thousand hectares),174220.9200,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),25543.5000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),617724.8160,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.1918,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2010,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),29.0450,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.1594,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2010,Land area (thousand hectares),2126854.5000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),183233.7000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),27705.8000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),601469.1460,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.6152,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3027,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),28.2798,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.1808,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2017,Land area (thousand hectares),2126881.5000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Arable land (thousand hectares),198440.2700,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Permanent crops (thousand hectares),28909.9800,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Forest cover (thousand hectares),595266.6890,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Arable land (% of total land area),9.3301,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Permanent crops (% of total land area),1.3593,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Forest cover (% of total land area),27.9878,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8735,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.0193,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
14,Eastern Africa,2005,Land area (thousand hectares),605628.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Arable land (thousand hectares),55769.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Permanent crops (thousand hectares),6913.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Forest cover (thousand hectares),203745.2260,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Arable land (% of total land area),9.2086,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1415,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Forest cover (% of total land area),33.6419,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Land area (thousand hectares),605699.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Arable land (thousand hectares),62228.3200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Permanent crops (thousand hectares),7603.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Forest cover (thousand hectares),196249.4560,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Arable land (% of total land area),10.2738,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Permanent crops (% of total land area),1.2554,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Forest cover (% of total land area),32.4005,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Land area (thousand hectares),605726.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Arable land (thousand hectares),66555.4700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Permanent crops (thousand hectares),8374.9800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Forest cover (thousand hectares),197307.6860,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Arable land (% of total land area),10.9877,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Permanent crops (% of total land area),1.3826,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Forest cover (% of total land area),32.5737,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Land area (thousand hectares),649682.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Arable land (thousand hectares),22745.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Permanent crops (thousand hectares),2762.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Forest cover (thousand hectares),310491.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Arable land (% of total land area),3.5009,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Permanent crops (% of total land area),0.4251,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Forest cover (% of total land area),47.7912,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Land area (thousand hectares),649682.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Arable land (thousand hectares),24061.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Permanent crops (thousand hectares),3250.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Forest cover (thousand hectares),306377.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Arable land (% of total land area),3.7035,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Permanent crops (% of total land area),0.5002,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Forest cover (% of total land area),47.1581,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Land area (thousand hectares),649682.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Arable land (thousand hectares),30899.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Permanent crops (thousand hectares),3830.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Forest cover (thousand hectares),303250.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Arable land (% of total land area),4.7560,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Permanent crops (% of total land area),0.5895,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Forest cover (% of total land area),46.6768,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Land area (thousand hectares),265067.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Arable land (thousand hectares),14730.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Permanent crops (thousand hectares),405.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Forest cover (thousand hectares),29429.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Arable land (% of total land area),5.5571,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Permanent crops (% of total land area),0.1530,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Forest cover (% of total land area),11.1025,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Land area (thousand hectares),265067.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Arable land (thousand hectares),14089.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Permanent crops (thousand hectares),460.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Forest cover (thousand hectares),28489.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Arable land (% of total land area),5.3153,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Permanent crops (% of total land area),0.1735,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Forest cover (% of total land area),10.7478,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Land area (thousand hectares),265067.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Arable land (thousand hectares),13646.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Permanent crops (thousand hectares),444.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Forest cover (thousand hectares),27635.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Arable land (% of total land area),5.1484,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Permanent crops (% of total land area),0.1675,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Forest cover (% of total land area),10.4257,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Land area (thousand hectares),606406.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Arable land (thousand hectares),80976.0200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Permanent crops (thousand hectares),15463.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Forest cover (thousand hectares),74059.5900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Arable land (% of total land area),13.3534,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Permanent crops (% of total land area),2.5499,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Forest cover (% of total land area),12.2129,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Land area (thousand hectares),606406.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Arable land (thousand hectares),82855.3800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Permanent crops (thousand hectares),16392.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Forest cover (thousand hectares),70353.0900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Arable land (% of total land area),13.6634,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
